id,name,team,countablePlays,averagePPA.all,totalPPA.all,totalPPA.pass,totalPPA.rush,position
4431870,Casey Filkins,Stanford,1,-0.782,-0.782,-0.782,,RB
4687515,EJ Wilson Jr.,Florida International,5,-0.767,-3.834,,-3.834,RB
4429357,Trevor Bycznski,Buffalo,1,-0.763,-0.763,-0.763,,QB
4374202,Bryce Mortenson,Utah State,3,-0.735,-2.206,-2.206,,TE
4431078,Willie Eldridge,UTEP,7,-0.723,-5.063,-1.734,-3.328,RB
4362483,Tevailance Hunt,TCU,3,-0.723,-2.17,-2.17,,WR
4258588,Cameron Ekanayake,Notre Dame,3,-0.72,-2.161,,-2.161,RB
4612344,Dillon Markiewicz,Syracuse,1,-0.703,-0.703,-0.703,,QB
4431134,Eli Wilson,Appalachian State,2,-0.701,-1.403,-1.403,,TE
4608846,Tanner Hollens,Colorado State,1,-0.699,-0.699,,-0.699,RB
4570071,Julius Davis,Wisconsin,1,-0.696,-0.696,,-0.696,RB
4568526,Maasai Maynor,Navy,4,-0.694,-2.776,-3.174,0.398,QB
4427860,Ta'Ron Madison,Oregon State,1,-0.655,-0.655,,-0.655,RB
4374065,Cedric Patterson III,New Mexico,6,-0.654,-3.926,-3.926,,WR
4427172,Nick Fedanzo,Illinois,1,-0.644,-0.644,,-0.644,RB
4430825,E.J. Smith,Stanford,4,-0.643,-2.57,-2.57,,RB
4429415,Mikele Colasurdo,Georgia State,2,-0.633,-1.266,-1.266,,QB
4569574,Cooper Jewett,Nebraska,1,-0.631,-0.631,,-0.631,RB
4431917,Charles Finley,West Virginia,1,-0.631,-0.631,-0.631,,TE
4430845,Darvon Hubbard,Texas A&M,1,-0.621,-0.621,,-0.621,RB
4252353,Justin Smith,Navy,1,-0.608,-0.608,,-0.608,RB
4243364,Connor Adair,Memphis,2,-0.605,-1.209,-1.209,,QB
4404999,Trae Allen,Western Michigan,9,-0.598,-5.38,,-5.38,RB
4244603,Cannon Montgomery,Tulsa,1,-0.596,-0.596,-0.596,,WR
4605866,Darius Ocean,Western Kentucky,2,-0.583,-1.166,-1.166,,QB
4244308,Davion Johnson,Miami (OH),6,-0.575,-3.452,-0.998,-2.454,RB
4429413,Brendon Clark,Notre Dame,4,-0.572,-2.287,-1.171,-1.116,QB
4245703,Bryce Wolma,Arizona,4,-0.566,-2.263,-2.263,,TE
4573151,Rob Fiorentino,Kansas,2,-0.536,-1.072,,-1.072,RB
4430404,Aidan Robbins,Louisville,5,-0.532,-2.658,,-2.658,RB
4256219,Victor Santiago,UMass,3,-0.531,-1.594,-1.594,,WR
4568649,Ethan Hall,Tulsa,3,-0.531,-1.594,-1.594,,TE
4427779,Jaelyn Lay,Clemson,3,-0.521,-1.564,-1.564,,TE
4433886,Tate Rodemaker,Florida State,35,-0.514,-17.974,-19.116,1.141,QB
4428410,Ontario Russell,Miami (OH),5,-0.514,-2.572,,-2.572,RB
4370796,Tavares Kelly,Virginia,17,-0.513,-8.719,-5.283,-3.436,WR
4428921,Jude Wolfe,USC,2,-0.5,-1,-1,,TE
4372569,Brady Schipper,Wisconsin,5,-0.487,-2.435,0.168,-2.604,RB
4240479,Bruce Jordan-Swilling,Georgia Tech,3,-0.486,-1.457,,-1.457,RB
4430067,Jaren Mangham,Colorado,23,-0.481,-11.06,0.557,-11.617,RB
4431432,Kenny Tracy,Miami (OH),9,-0.481,-4.325,-0.226,-4.099,RB
4565303,Katravis Marsh,South Florida,33,-0.47,-15.497,-14.858,-0.639,QB
4362982,Jordan Weeks,UT San Antonio,24,-0.47,-11.28,-12.154,0.874,QB
4035691,Matt Fink,USC,1,-0.457,-0.457,-0.457,,QB
4426797,Paris Brown,Pittsburgh,1,-0.453,-0.453,-0.453,,RB
4431234,Logan Loya,UCLA,1,-0.448,-0.448,-0.448,,WR
4260943,Julian Ross,Ohio,2,-0.441,-0.881,,-0.881,RB
4240392,Markenzy Pierre,Syracuse,21,-0.437,-9.177,-0.054,-9.123,RB
4241798,Omar Manning,Nebraska,1,-0.435,-0.435,-0.435,,WR
4430950,Jefferson Boaz,North Carolina,1,-0.433,-0.433,-0.433,,QB
4432327,Kendall Karr,North Carolina,1,-0.433,-0.433,-0.433,,TE
4605489,Damien Alford,Syracuse,1,-0.425,-0.425,-0.425,,WR
4569053,Jamahl Horne,Kansas,1,-0.424,-0.424,-0.424,,WR
4569077,Will Barnard,Nevada,1,-0.422,-0.422,-0.422,,WR
4360743,Justus Woods,Stanford,4,-0.42,-1.68,,-1.68,RB
4570278,Jonathan Barna,Ohio,8,-0.419,-3.354,,-3.354,RB
4693812,Jordan Gidrey,Air Force,10,-0.416,-4.165,-0.428,-3.737,RB
4575528,Francis Sherman,Louisville,3,-0.416,-1.249,-1.249,,TE
4360893,Odunayo Seriki,South Florida,6,-0.412,-2.472,,-2.472,RB
4362045,James Tupou,UTEP,4,-0.41,-1.639,-1.639,,FB
4574315,Bernard Porter,Buffalo,2,-0.409,-0.818,-0.818,,WR
4360370,Jakari Norwood,Illinois,2,-0.408,-0.816,,-0.816,RB
4430389,Amir Richardson,Marshall,3,-0.406,-1.219,-1.219,,TE
4373743,Brandon Walters,Army,12,-0.403,-4.841,-3.894,-0.948,RB
4428961,Jordan Yates,Georgia Tech,13,-0.403,-5.235,-4.286,-0.949,QB
4567160,A'Montae Spivey,Arkansas,4,-0.403,-1.611,,-1.611,RB
4360322,Max May,Clemson,2,-0.403,-0.806,-0.806,,WR
4696690,Reggie Love III,Illinois,10,-0.403,-4.028,,-4.028,RB
4036177,Dylan Autenrieth,NC State,2,-0.402,-0.803,-0.803,,TE
4429002,Demarkcus Bowman,Clemson,9,-0.401,-3.607,,-3.607,RB
4427463,Chris Hickman,Nebraska,2,-0.396,-0.792,-0.792,,TE
4429444,Josh Coltrin,Tulane,2,-0.386,-0.773,,-0.773,RB
4028215,Quincy Jountti,USC,2,-0.383,-0.765,,-0.765,RB
4383088,T.J. DeShields,Akron,17,-0.38,-6.465,-6.465,,QB
4686137,Parker McNeil,Troy,3,-0.374,-1.121,-0.825,-0.296,QB
4433821,John Gentry,Utah State,8,-0.371,-2.964,-0.822,-2.142,RB
4696686,Deuce Spann,Illinois,1,-0.367,-0.367,,-0.367,WR
4382470,Elijah Collins,Michigan State,45,-0.364,-16.363,0.837,-17.2,RB
4566318,Garrett Kahmann,Louisiana Monroe,11,-0.364,-4.002,-4.007,0.005,TE
4612824,Broc Lane,Utah State,4,-0.363,-1.452,-1.452,,TE
4426917,Coltin Clack,Arkansas State,2,-0.362,-0.725,-0.725,,TE
4429133,Malik Hornsby,Arkansas,2,-0.359,-0.719,,-0.719,QB
4426519,Boone Abbott,Hawai'i,1,-0.356,-0.356,,-0.356,QB
4039019,Jordan Chin,Washington,1,-0.354,-0.354,-0.354,,WR
4259426,Matt Dorrity,SMU,1,-0.354,-0.354,-0.354,,WR
4249828,Ethan Bullock,Oklahoma State,26,-0.354,-9.216,-8.466,-0.75,QB
4273963,Sylvester Mayers,Clemson,1,-0.346,-0.346,,-0.346,RB
4568345,Shawn Naim,Akron,9,-0.346,-3.113,-3.113,,WR
4241327,Nick Ast,Kansas State,19,-0.345,-6.561,-6.815,0.254,WR
4240806,Ben Miles,Kansas,3,-0.344,-1.031,-1.031,,FB
4430654,Rico Powers Jr.,South Carolina,5,-0.343,-1.717,-1.717,,WR
4428680,Marquel Tinsley,Middle Tennessee,12,-0.34,-4.08,-4.08,,WR
4686400,Golden Eke,Louisiana,2,-0.338,-0.677,-0.677,,WR
4361677,Justin Dunn,NC State,4,-0.336,-1.345,-1.345,,WR
4243836,Evan Johnson,North Texas,6,-0.33,-1.978,,-1.978,RB
4241934,Tayon Fleet-Davis,Maryland,11,-0.33,-3.629,1.967,-5.596,RB
4426454,Lance LeGendre,Maryland,19,-0.33,-6.274,-1.702,-4.571,QB
4242179,Maleek Williams,Florida International,6,-0.328,-1.971,-0.453,-1.518,RB
4431031,Jared Cole,UMass,15,-0.321,-4.813,1.929,-6.741,RB
4685186,Tyler Van Dyke,Miami,3,-0.316,-0.948,-0.948,,QB
4427034,Joe Davis,Colorado,19,-0.313,-5.943,-0.155,-5.787,RB
4686920,Quinton Hadnot,Utah State,1,-0.311,-0.311,-0.311,,WR
4245679,Rhett Rodriguez,Arizona,17,-0.31,-5.273,-5.368,0.095,QB
4361566,Kenyon Oblad,UNLV,6,-0.306,-1.834,-1.996,0.161,QB
4426430,Taisun Phommachanh,Clemson,23,-0.305,-7.008,-9.427,2.418,QB
4691125,Matt Duncan,Temple,6,-0.304,-1.823,-3.389,1.566,QB
4428887,Davis Beville,Pittsburgh,13,-0.301,-3.918,-4.833,0.915,QB
4431339,Evan Prater,Cincinnati,2,-0.296,-0.592,,-0.592,QB
4569611,Marcus Cisco,Northwestern,3,-0.294,-0.882,,-0.882,RB
4259633,Stephen Carr,USC,58,-0.291,-16.852,-1.54,-15.312,RB
4362536,Robert French,Rice,6,-0.29,-1.743,-1.743,,TE
4571877,Jacoby Clarke,Baylor,2,-0.287,-0.574,-0.574,,RB
4430847,Chris Street,California,1,-0.286,-0.286,,-0.286,RB
4046564,Wykeen Akie Gill,Kansas State,4,-0.284,-1.136,-1.136,,WR
4241074,Larry Wooden,UAB,18,-0.284,-5.113,-1.641,-3.471,RB
4373668,Danny Smith,Boise State,12,-0.281,-3.376,,-3.376,RB
4256045,Marcus McElroy,Colorado State,30,-0.281,-8.43,-0.614,-7.817,RB
4607267,Malik Sherrod,Fresno State,1,-0.28,-0.28,,-0.28,RB
4260169,Garrett Bickhart,Pittsburgh,4,-0.279,-1.115,-1.115,,WR
4603352,Gayflor Flomo,Kansas,6,-0.277,-1.66,,-1.66,RB
4430810,Daniyel Ngata,Arizona State,27,-0.276,-7.464,1.43,-8.894,RB
4426417,Jacob Zeno,Baylor,12,-0.276,-3.311,-2.159,-1.152,QB
4361690,Sean Chambers,Wyoming,2,-0.273,-0.547,0.333,-0.88,QB
4569560,Jordan Wilmore,Utah,18,-0.271,-4.885,,-4.885,RB
4429032,Hudson Card,Texas,7,-0.27,-1.892,-4.974,3.082,QB
4429481,Marcus Crowley,Ohio State,8,-0.27,-2.158,-0.506,-1.652,RB
4040508,Quadraiz Wadley,UTEP,5,-0.266,-1.33,-1.038,-0.291,RB
4431398,Dylan Downing,UNLV,6,-0.261,-1.563,-0.353,-1.21,RB
4429463,Jacolby Criswell,North Carolina,13,-0.26,-3.386,-3.318,-0.068,QB
4036409,Tyler Burns,Kansas State,14,-0.259,-3.629,-0.376,-3.254,RB
4595398,Terence Fall,BYU,1,-0.258,-0.258,,-0.258,WR
4431296,Quadre Nicholson,Miami (OH),2,-0.257,-0.514,,-0.514,RB
4427003,Kyron Cumby,Illinois,5,-0.256,-1.279,-1.721,0.442,WR
4360943,Bryce Williams,Minnesota,7,-0.255,-1.783,0.333,-2.116,RB
4360425,Ronnie Walker Jr.,Virginia,23,-0.255,-5.858,,-5.858,RB
4690026,Shadeed Ahmed,Marshall,8,-0.254,-2.028,-2.028,,WR
4690144,BJ Alexander,Florida Atlantic,12,-0.251,-3.014,-3.014,,WR
4692835,Jalen Brooks,South Carolina,24,-0.25,-5.996,-5.996,,WR
4373086,Seth Porter,Kansas State,1,-0.245,-0.245,,-0.245,WR
4360075,Ryan Montgomery,Cincinnati,15,-0.245,-3.668,-0.104,-3.564,RB
4064365,Thomas Reid III,Arizona,2,-0.244,-0.487,-0.487,,WR
4372015,Xavier Williams,Alabama,4,-0.244,-0.975,-0.975,,WR
4046586,Nick Lenners,Kansas State,3,-0.243,-0.73,-0.73,,TE
4433827,Rocko Griffin,Vanderbilt,30,-0.243,-7.277,-0.408,-6.868,RB
4428969,Joshua Youngblood,Kansas State,1,-0.237,-0.237,,-0.237,WR
4360873,Chris Carter,South Florida,5,-0.234,-1.172,-1.172,,TE
4429313,Tyrone Broden Jr.,Bowling Green,16,-0.231,-3.691,-3.691,,WR
4685016,Ellis Merriweather,UMass,44,-0.23,-10.112,-0.368,-9.744,RB
4570088,Connor Genal,New Mexico,18,-0.228,-4.11,-3.989,-0.121,QB
4035821,Matt Lynch,Colorado,3,-0.224,-0.673,-0.673,,TE
4245238,Joshua Fields,UTEP,70,-0.222,-15.529,0.025,-15.554,RB
4567485,Terrell Brown,Houston,4,-0.221,-0.884,,-0.884,RB
4568024,Josh Williams,LSU,15,-0.219,-3.278,-0.224,-3.054,RB
4383643,C.J. Schmanski,Colorado,6,-0.213,-1.279,-1.279,,TE
4360742,Jay Symonds,Stanford,1,-0.212,-0.212,-0.212,,FB
4572361,Cam Roberson,UMass,13,-0.212,-2.758,0.434,-3.192,WR
4360974,Kadas Reams,Temple,3,-0.211,-0.632,-0.632,,WR
4030676,Tommy McIntyre,SMU,2,-0.211,-0.423,-0.423,,TE
4606001,Elelyon Noa,Utah State,34,-0.21,-7.151,3.181,-10.333,RB
4427914,D'Wan Mathis,Georgia,45,-0.207,-9.32,-11.553,2.232,QB
4429949,Maliq Carr,Purdue,3,-0.202,-0.605,-0.605,,TE
4362075,Cameron Rising,Utah,7,-0.202,-1.414,-1.414,,QB
4241243,Johnnie Lang,Iowa State,8,-0.201,-1.609,0.67,-2.28,RB
4381224,Josh Mays,Troy,4,-0.2,-0.798,,-0.798,RB
4036065,Thomas MacVittie,Kansas,18,-0.2,-3.599,-5.19,1.59,QB
4241566,Chase Rogers,Ole Miss,5,-0.199,-0.995,-0.995,,TE
3917680,Bradrick Shaw,California,11,-0.198,-2.179,,-2.179,RB
4429454,Ron Cook Jr.,Buffalo,21,-0.194,-4.076,0.575,-4.65,RB
4574777,Dylan Leonard,Georgia Tech,7,-0.191,-1.338,-1.338,,TE
4689981,Don Ragsdale,Southern Mississippi,27,-0.191,-5.15,-1.068,-4.082,RB
4426469,Sampson James,Indiana,33,-0.188,-6.205,0.492,-6.697,RB
4035823,Devon Modster,California,1,-0.187,-0.187,-0.187,,QB
4569501,Anthony Williams Jr.,Michigan State,4,-0.186,-0.743,0.038,-0.781,RB
4426760,Stephan Bracey,Wisconsin,4,-0.186,-0.744,-0.508,-0.237,WR
4431487,Savion Williams,TCU,2,-0.184,-0.367,-0.367,,WR
4612558,Anderson Castle,Appalachian State,17,-0.183,-3.106,,-3.106,RB
4432631,Noah Whittington,Western Kentucky,19,-0.183,-3.474,-1.677,-1.797,RB
4259180,John Lovett,Baylor,53,-0.181,-9.573,1.958,-11.531,RB
4429505,Kelvin Dean Jr.,Florida Atlantic,14,-0.181,-2.535,-1.074,-1.461,RB
4361329,Joey Gatewood,Kentucky,59,-0.176,-10.413,-12.131,1.717,WR
4568155,Gavin Beerup,Wyoming,18,-0.175,-3.149,-5.474,2.324,WR
4258584,Jafar Armstrong,Notre Dame,21,-0.175,-3.668,2.955,-6.623,WR
4036215,Max Bortenschlager,Florida International,54,-0.174,-9.386,-9.385,-0.001,QB
4613125,Bobby Wooden,New Mexico,14,-0.174,-2.433,-1.231,-1.202,RB
4569481,Anthony Watkins,Tulsa,7,-0.173,-1.213,,-1.213,RB
4427647,Jermaine Johnson Jr.,UMass,16,-0.172,-2.753,-2.753,,WR
4241961,Connor Heyward,Michigan State,86,-0.171,-14.718,-1.32,-13.398,RB
4429939,Jawhar Jordan,Syracuse,33,-0.17,-5.597,3.12,-8.717,RB
4568612,Onasis Neely,Temple,20,-0.168,-3.363,,-3.363,RB
4575398,Ben Williams,Appalachian State,2,-0.167,-0.335,,-0.335,RB
4036482,Javonis Isaac,Arkansas State,1,-0.167,-0.167,,-0.167,TE
4362632,Chris Curry,LSU,49,-0.162,-7.952,-0.494,-7.458,RB
4429153,Lideatrick Griffin,Mississippi State,18,-0.162,-2.918,-2.918,,WR
4362528,Wiley Green,Rice,10,-0.162,-1.621,-1.872,0.251,QB
4244772,Darius Bracy,Central Michigan,15,-0.16,-2.406,,-2.406,RB
4431374,Marvin Scott III,Nebraska,26,-0.159,-4.141,1.208,-5.348,RB
4427796,Justin Lescouflair,Army,1,-0.158,-0.158,,-0.158,RB
4259275,Calvin Camp,Charlotte,19,-0.157,-2.979,,-2.979,RB
4035995,Jawon Pass,Louisville,6,-0.157,-0.94,0.196,-1.136,QB
4384211,Tahj Magee,Louisiana Tech,3,-0.153,-0.46,-0.46,,WR
4427251,Velton Gardner,Kansas,81,-0.153,-12.393,-5.637,-6.757,RB
4430260,Stone Norton,Florida International,68,-0.152,-10.321,-7.569,-2.751,QB
4373680,Maclaine Griffin,Boise State,4,-0.152,-0.609,-0.609,,WR
4362085,Jarrett Smith,Texas,2,-0.15,-0.299,,-0.299,RB
4429684,Anthony Gould,Oregon State,1,-0.149,-0.149,-0.149,,WR
4360996,Ronnie Stevenson,Temple,1,-0.146,-0.146,-0.146,,WR
4362617,Bryce Oliver,Kentucky,4,-0.145,-0.579,-0.579,,WR
4390717,Josh Johnson,Louisiana Monroe,109,-0.144,-15.676,-1.504,-14.172,RB
4427648,Lexington Joseph,Florida International,10,-0.143,-1.433,0.618,-2.05,RB
4046744,Bryson Denley,Bowling Green,41,-0.141,-5.798,-3.112,-2.686,RB
4570491,Jayy McDonald,Middle Tennessee,48,-0.14,-6.704,0.418,-7.122,RB
4373454,Dylan McDuffie,Buffalo,1,-0.14,-0.14,,-0.14,RB
4371852,Carlinos Acie,Navy,13,-0.138,-1.795,-0.062,-1.733,RB
4570130,Jermaine Brown Jr.,UAB,74,-0.137,-10.102,-3.053,-7.049,RB
4039294,Mulbah Car,Houston,56,-0.136,-7.598,-0.708,-6.89,RB
4255990,Calvin Tyler Jr.,Oregon State,19,-0.135,-2.565,-0.473,-2.093,RB
4433855,Terry Lockett,Michigan State,2,-0.133,-0.266,-0.266,,WR
4429652,Pat Garwo III,Boston College,35,-0.132,-4.609,-0.119,-4.489,RB
4241480,Major Tennison,Alabama,1,-0.131,-0.131,-0.131,,TE
4363522,Aaron Jackson,Eastern Michigan,7,-0.131,-0.915,-0.915,,TE
4426598,Isaiah Azubuike,Arkansas State,18,-0.13,-2.334,-0.985,-1.349,RB
4686848,Andy Peters,Boise State,9,-0.13,-1.17,-0.491,-0.679,QB
4239999,Will Swinney,Clemson,8,-0.13,-1.036,-1.036,,WR
4570552,Marquis McCoy,Southern Mississippi,3,-0.128,-0.385,-0.385,,WR
4430100,Larry McCammon III,Florida Atlantic,20,-0.128,-2.562,0.401,-2.963,RB
4039393,Daevon Vigilant,New Mexico,22,-0.127,-2.795,-3.422,0.627,RB
4240411,Sharod Johnson,Syracuse,6,-0.127,-0.765,-0.765,,WR
4569927,Talmage Gunther,BYU,2,-0.123,-0.245,,-0.245,WR
4362796,Ja'Veon Marlow,Vanderbilt,51,-0.121,-6.167,-5.102,-1.066,RB
4430867,Kyle Toole,Troy,2,-0.118,-0.236,,-0.236,QB
4575831,Taron Keith,Bowling Green,5,-0.117,-0.587,-0.908,0.321,RB
4360195,Peyton Sawyer,Houston,9,-0.117,-1.054,-1.054,,WR
4243369,Marquavius Weaver,Memphis,39,-0.117,-4.573,-0.412,-4.162,RB
4574732,Aaron Young,Rutgers,63,-0.116,-7.295,-2.593,-4.702,RB
4374172,Chad Magyar,UNLV,2,-0.112,-0.224,,-0.224,RB
4431035,Gavin Williams,Iowa,8,-0.112,-0.894,,-0.894,RB
4430635,Will Plummer,Arizona,109,-0.112,-12.234,-14.821,2.587,QB
4687493,Brandon Thomas,Memphis,2,-0.11,-0.22,,-0.22,RB
4035070,Drew Schlegel,California,2,-0.109,-0.218,-0.218,,FB
4432297,Isaiah Jacobs,Maryland,24,-0.109,-2.624,0.839,-3.463,RB
4245161,Clay Markoff,Washington State,5,-0.107,-0.537,0.493,-1.03,RB
4432545,Jabari Small,Tennessee,31,-0.107,-3.316,-0.631,-2.685,RB
4686513,Frank Peasant,Middle Tennessee,22,-0.104,-2.297,-2.767,0.469,RB
4365322,Isaiah Phillips,Louisiana Monroe,53,-0.103,-5.433,-0.219,-5.215,RB
4568312,Jordan Houston,NC State,59,-0.102,-6.046,-3.319,-2.727,RB
4240842,Hayden Mitchell,Virginia,2,-0.101,-0.202,-0.202,,WR
4370794,Perris Jones,Virginia,5,-0.099,-0.495,-0.338,-0.157,RB
4433828,Khalan Griffin,Rice,75,-0.097,-7.238,1.509,-8.747,RB
4362313,O'Shann Allison,Ohio,17,-0.097,-1.647,0.714,-2.361,RB
4571021,Shamar Garrett,San José State,8,-0.095,-0.762,-0.301,-0.462,RB
4568336,Zach Gibson,Akron,178,-0.095,-16.925,-19.783,2.858,QB
4360506,Monte Pottebaum,Iowa,4,-0.095,-0.381,0.605,-0.986,FB
4373630,Sione Finau,BYU,15,-0.092,-1.375,-0.722,-0.653,RB
107494,Trey Sanders,Alabama,29,-0.092,-2.681,-0.843,-1.838,RB
4427634,Keegan Jones,UCLA,21,-0.092,-1.926,0.213,-2.139,RB
4372721,Christopher Brown Jr.,California,25,-0.092,-2.304,-0.69,-1.613,RB
4361264,Isaiah Bowser,Northwestern,85,-0.09,-7.613,5.901,-13.513,RB
4426361,Jeremiah Payton,Miami,8,-0.089,-0.708,-0.708,,WR
4373273,British Brooks,North Carolina,25,-0.088,-2.207,-1.275,-0.932,RB
4361575,Jace Ruder,North Carolina,3,-0.088,-0.263,0.219,-0.482,QB
4429751,DeMarcus Harris,Kentucky,21,-0.086,-1.807,-1.807,,WR
4430836,Chubba Purdy,Florida State,72,-0.086,-6.166,-6.562,0.396,QB
4035284,Jamauri Wakefield,Vanderbilt,43,-0.085,-3.65,2.581,-6.23,RB
4363148,AJ Mayer,Miami (OH),26,-0.084,-2.196,-2.116,-0.08,QB
4427834,Erick All,Michigan,24,-0.082,-1.972,-1.972,,TE
4429618,Justice Ellison,Wake Forest,30,-0.082,-2.463,-0.173,-2.29,RB
4428438,Edward Saydee,Temple,21,-0.082,-1.718,-1.031,-0.687,RB
4360805,Hassan Hall,Louisville,57,-0.08,-4.537,-3.74,-0.797,RB
4240032,Zaquandre White,South Carolina,9,-0.076,-0.688,-1.016,0.328,RB
4361914,Seth Paige,Georgia State,7,-0.076,-0.535,0.483,-1.018,RB
4361227,Marcel Murray,Arkansas State,48,-0.075,-3.604,-0.373,-3.231,RB
4373864,John Tank Miller,South Alabama,5,-0.074,-0.369,,-0.369,RB
4426658,Noah Cain,Penn State,3,-0.073,-0.218,,-0.218,RB
4567545,Jayden Harrison,Vanderbilt,6,-0.072,-0.432,-0.432,,WR
4258189,Oliver Martin,Nebraska,10,-0.072,-0.722,-0.722,,WR
4373854,Jared Wilson,South Alabama,49,-0.071,-3.476,-3.475,-0.001,RB
4037458,Michael Irvin II,Florida Atlantic,3,-0.07,-0.21,-0.21,,TE
4432434,Keyon Mozee,Kansas State,10,-0.069,-0.69,0.795,-1.485,RB
4039089,Cameron Odom,Ohio,6,-0.069,-0.416,0.349,-0.765,WR
4427983,Dawaiian McNeely,Wyoming,14,-0.068,-0.958,,-0.958,RB
4240809,Kurt Rafdal,Nebraska,1,-0.068,-0.068,-0.068,,TE
4685228,Kamal Gray,Temple,23,-0.066,-1.508,-2.328,0.82,QB
4568670,Josh Henderson,North Carolina,21,-0.063,-1.322,-0.808,-0.513,RB
4427597,Devin Jennings,Wyoming,3,-0.063,-0.189,0.62,-0.809,WR
4427681,Nick Kargman,Western Michigan,3,-0.063,-0.188,-0.188,,QB
4429088,Drew Pyne,Notre Dame,4,-0.061,-0.244,-0.1,-0.144,QB
4427191,Dequan Finn,Toledo,11,-0.061,-0.673,-0.282,-0.391,QB
4567507,Rodrigues Clark,Memphis,149,-0.06,-8.981,-0.813,-8.168,RB
4427601,Ali Jennings,West Virginia,11,-0.059,-0.651,-0.651,,WR
4045696,Ryan Carriere,Charlotte,6,-0.059,-0.355,-0.355,,TE
4426517,Keenan Garber,Kansas State,4,-0.059,-0.237,0.409,-0.646,WR
4240452,Chris Katrenick,Duke,6,-0.056,-0.335,1.447,-1.781,QB
4432374,Ahmani Marshall,Wake Forest,6,-0.055,-0.328,,-0.328,RB
4361263,Drake Anderson,Northwestern,65,-0.055,-3.573,0.307,-3.879,RB
4429804,Jimmy Calloway,Tennessee,4,-0.054,-0.214,1.315,-1.529,WR
4239937,Matt McDonald,Bowling Green,149,-0.054,-8.056,-12.252,4.196,QB
4362163,Caden Leggett,Texas Tech,3,-0.053,-0.158,-0.158,,WR
4686940,Donny Marcus,Ball State,16,-0.053,-0.854,0.762,-1.617,RB
4241891,Alec Sinkfield,West Virginia,89,-0.052,-4.638,4.436,-9.074,RB
4427217,Daimarqua Foster,TCU,31,-0.051,-1.586,-0.832,-0.754,RB
4576294,Harrison Waylee,Northern Illinois,119,-0.05,-5.942,1.323,-7.266,RB
4697802,Jackson He,Arizona State,4,-0.049,-0.197,,-0.197,RB
4240391,Tommy DeVito,Syracuse,139,-0.047,-6.479,-7.731,1.252,QB
4239405,Darius Pinnix,East Carolina,40,-0.046,-1.832,1.641,-3.472,RB
4360578,James Graham,Georgia Tech,19,-0.046,-0.874,1.543,-2.417,WR
